City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Nome,US,64.5011,-165.4064,-0.4,42,1,11.5
Albany,US,42.6001,-73.9662,30.0,71,100,3.42
Butaritari,KI,3.0707,172.7902,80.94,83,16,16.33
Chimbote,PE,-9.0853,-78.5783,75.67,69,23,10.31
Bluff,NZ,-46.6,168.3333,52.39,90,100,13.06
Tura,IN,25.5198,90.2201,59.07,38,14,2.82
Bengkulu,ID,-3.8004,102.2655,75.51,87,96,4.27
Lebu,CL,-37.6167,-73.65,66.36,69,6,13.09
Malakal,SS,9.5334,31.6605,78.06,23,43,5.37
Esim,GH,4.8699,-2.2405,81.18,83,75,9.69
New Norfolk,AU,-42.7826,147.0587,52.0,67,18,1.68
Busselton,AU,-33.65,115.3333,54.0,98,91,11.7
Jamestown,US,42.097,-79.2353,23.0,80,90,10.36
Yellowknife,CA,62.456,-114.3525,-7.01,70,90,14.97
Camotán,GT,14.8167,-89.3667,96.8,28,20,4.61
Aquiraz,BR,-3.9014,-38.3911,82.4,78,20,10.36
Necochea,AR,-38.5473,-58.7368,69.01,61,5,5.99
Cuamba,MZ,-14.8031,36.5372,70.88,94,100,2.86
Ahipara,NZ,-35.1667,173.1667,69.4,89,100,6.22
Codrington,AU,-38.2667,141.9667,56.97,86,0,8.48
Isangel,VU,-19.55,169.2667,77.0,88,20,9.66
Ruteng,ID,-8.6136,120.4721,63.14,100,100,2.04
Airai,TL,-8.9266,125.4092,60.48,100,100,1.74
San Isidro,PE,-12.1167,-77.05,77.0,73,0,8.05
Sørland,NO,67.667,12.6934,31.37,84,14,19.17
Mranggen,ID,-7.0268,110.5158,76.05,86,100,2.24
Turukhansk,RU,65.8167,87.9833,2.41,94,97,13.94
Ushuaia,AR,-54.8,-68.3,64.4,59,40,4.61
Hermanus,ZA,-34.4187,19.2345,66.0,87,1,8.7
Lovozero,RU,68.005,35.0117,6.49,93,79,7.56
Rikitea,PF,-23.1203,-134.9692,78.28,72,49,7.18
La Rioja,ES,42.25,-2.5,42.8,87,0,3.44
Sal Rei,CV,16.1833,-22.9167,71.6,73,75,20.71
Cherskiy,RU,68.75,161.3,-3.19,84,0,3.09
Cape Town,ZA,-33.9258,18.4232,71.01,78,0,24.16
Takoradze,GH,4.8845,-1.7554,81.46,82,92,11.45
Aalburg,NL,51.7548,5.1316,21.0,93,20,2.3
Atuona,PF,-9.8,-139.0333,79.39,75,29,18.59
Constitución,CL,-35.3333,-72.4167,68.65,69,12,8.86
Moree,AU,-29.4667,149.85,68.0,64,40,5.75
Tiksi,RU,71.6872,128.8694,-16.4,83,100,3.11
Hualmay,PE,-11.0964,-77.6139,75.92,69,41,10.89
Dvinskoy,RU,62.1535,45.1175,-13.88,87,67,3.4
Hambantota,LK,6.1241,81.1185,73.99,76,71,16.98
Khatanga,RU,71.9667,102.5,-17.81,84,0,9.1
Hamilton,US,39.1834,-84.5333,32.0,69,90,4.61
Djibo,BF,14.1022,-1.6306,80.49,14,0,9.4
Sisimiut,GL,66.9395,-53.6735,18.54,81,0,3.38
Faanui,PF,-16.4833,-151.75,82.04,72,0,14.18
Vila Velha,BR,-20.3297,-40.2925,78.01,94,90,5.75
Dikson,RU,73.5069,80.5464,-29.2,86,97,10.36
Pevek,RU,69.7008,170.3133,-4.22,73,0,1.74
Port Alfred,ZA,-33.5906,26.891,69.01,92,7,1.01
Port Elizabeth,ZA,-33.918,25.5701,68.0,94,75,5.75
Aasiaat,GL,68.7098,-52.8699,12.61,88,0,9.35
Suzun,RU,53.7841,82.3116,-0.44,91,100,13.82
Hong Kong,HK,22.2855,114.1577,64.0,83,97,1.01
Rocha,UY,-34.4833,-54.3333,69.66,82,57,15.48
Chui,UY,-33.6971,-53.4616,72.46,75,0,9.1
San Joaquin,US,37.9333,-121.3011,62.6,55,1,6.91
Nikolskoye,RU,59.7035,30.7861,5.0,85,100,2.24
Cidreira,BR,-30.1811,-50.2056,75.74,79,1,17.58
Huarmey,PE,-10.0681,-78.1522,76.26,67,52,10.02
Hobart,AU,-42.8794,147.3294,52.0,81,20,5.75
Pryazha,RU,61.6926,33.6216,5.0,85,0,4.47
Dunedin,NZ,-45.8742,170.5036,51.01,87,100,4.0
Sur,OM,22.5667,59.5289,70.56,65,100,10.25
Manokwari,ID,-0.8667,134.0833,78.94,78,99,7.25
Mataura,NZ,-46.1927,168.8643,49.39,95,100,6.55
Severo-Kuril'sk,RU,50.6789,156.125,25.88,95,100,20.4
Tasiilaq,GL,65.6145,-37.6368,17.6,53,75,19.57
Vostok,RU,46.4856,135.8833,-5.22,92,100,4.47
Macaúbas,BR,-13.0194,-42.6986,73.87,83,38,3.36
Shenjiamen,CN,29.9576,122.298,48.99,81,99,7.25
Chokurdakh,RU,70.6333,147.9167,-13.14,88,25,3.18
Shetpe,KZ,44.1667,52.1167,34.66,85,100,6.73
Mahébourg,MU,-20.4081,57.7,78.8,78,20,5.75
Alyangula,AU,-13.8483,136.4192,82.4,89,75,8.05
Hilo,US,19.7297,-155.09,73.4,68,90,11.5
Puerto Ayora,EC,-0.7393,-90.3518,81.0,89,75,11.5
Bambanglipuro,ID,-7.95,110.2833,76.59,86,100,5.01
Bambous Virieux,MU,-20.3428,57.7575,78.8,78,20,5.75
Iqaluit,CA,63.7506,-68.5145,8.6,72,40,4.61
Ilulissat,GL,69.2167,-51.1,21.2,45,1,2.3
Oussouye,SN,12.485,-16.5469,84.2,51,0,6.91
Lima,PE,-12.0432,-77.0282,77.0,73,0,8.05
Souillac,MU,-20.5167,57.5167,78.8,78,20,5.75
Kazachinskoye,RU,57.6953,93.2761,-2.4,89,100,5.93
Phan Thiet,VN,10.9333,108.1,72.12,85,55,3.42
Norman Wells,CA,65.282,-126.8329,-36.4,67,1,3.44
College,US,64.8569,-147.8028,-34.6,80,20,4.61
Rocky Mountain House,CA,52.3668,-114.9188,-13.0,58,0,6.91
Palani,IN,10.4667,77.5333,65.93,64,0,5.55
Hecun,CN,36.5333,114.1111,41.13,62,0,3.87
Pisco,PE,-13.7,-76.2167,78.8,61,0,14.97
Caravelas,BR,-17.7125,-39.2481,76.5,82,93,5.39
Kodinsk,RU,58.6881,99.1844,3.34,91,100,8.55
Punta Arenas,CL,-53.15,-70.9167,69.8,52,0,5.75
Kauhajoki,FI,62.4333,22.1833,19.4,93,90,3.24
Gondanglegi,ID,-7.7479,112.0132,74.68,90,100,2.55
Buenos Aires,AR,-34.6132,-58.3772,73.99,68,75,20.71
Upernavik,GL,72.7868,-56.1549,10.62,75,22,1.97
Vilyuysk,RU,63.7553,121.6247,-23.85,85,60,6.98
Kailua,US,21.4022,-157.7394,73.4,53,40,17.27
Narsaq,GL,60.9167,-46.05,35.6,27,40,29.93
Longyearbyen,SJ,78.2186,15.6401,15.8,79,75,5.75
Rawson,AR,-43.3002,-65.1023,76.42,33,100,27.72
Saint-Philippe,RE,-21.3585,55.7679,80.6,65,20,18.41
Nizwá,OM,22.9333,57.5333,63.5,44,100,2.35
Husavik,IS,66.0449,-17.3389,23.0,93,90,5.46
Khasan,RU,42.4308,130.6434,22.17,90,89,5.46
Sebeta,ET,8.9167,38.6167,50.49,85,16,2.01
Flinders,AU,-34.5833,150.8552,63.0,90,100,1.99
Chernukha,RU,55.5974,43.7556,5.05,94,100,6.04
Castro,BR,-24.7911,-50.0119,70.93,72,65,3.96
Xining,CN,36.6167,101.7667,28.13,68,36,1.79
Clyde River,CA,70.4692,-68.5914,-0.4,92,20,9.22
Mugur-Aksy,RU,50.35,90.5,2.46,76,53,11.23
Krasnogvardeyets,RU,52.6804,52.3635,-4.56,88,91,7.11
Qaanaaq,GL,77.484,-69.3632,17.11,73,0,4.68
Kaitangata,NZ,-46.2817,169.8464,55.99,94,100,1.99
Thinadhoo,MV,0.5333,72.9333,81.72,80,100,14.45
Qaqortoq,GL,60.7167,-46.0333,35.6,27,40,29.93
Laramie,US,41.3114,-105.5911,37.4,32,1,26.46
Havre-St-Pierre,CA,50.2334,-63.5986,15.8,62,1,20.71
Bonfim,BR,3.0833,-59.95,91.72,38,48,11.1
Geraldton,AU,-28.7667,114.6,60.8,88,0,9.22
Sarkand,KZ,45.41,79.9186,16.77,93,100,5.14
Mar del Plata,AR,-38.0023,-57.5575,68.0,73,40,17.27
Prainha,BR,-1.8,-53.48,84.96,66,89,3.74
Quzhou,CN,28.9594,118.8686,46.04,85,100,3.0
Broken Hill,AU,-31.95,141.4333,71.6,28,0,6.91
Vila do Maio,CV,15.1333,-23.2167,69.8,73,0,23.02
Utica,US,43.1009,-75.2327,25.0,67,98,1.99
Kidal,ML,18.4411,1.4078,74.84,16,9,8.52
Bethel,US,41.3712,-73.414,28.4,86,90,4.61
Issum,DE,51.5333,6.4333,19.99,89,11,6.22
Vaini,TO,-21.2,-175.2,80.6,89,90,21.85
Jiazi,CN,22.8779,116.067,59.65,77,100,20.51
Cururupu,BR,-1.8283,-44.8683,81.27,71,86,4.85
Goderich,CA,43.7501,-81.7165,17.6,73,100,9.22
Palmer,US,42.1584,-72.3287,28.0,86,90,8.05
Ailigandí,PA,9.2333,-78.0167,81.09,75,16,14.29
Taksimo,RU,56.3444,114.8794,4.33,89,100,0.69
Esperance,AU,-33.8667,121.9,59.0,82,0,3.44
Lavrentiya,RU,65.5833,-171.0,-12.06,80,0,15.3
Grindavik,IS,63.8424,-22.4338,30.2,100,90,10.36
